rank,city,distance,distance_in_km,cardinal_direction,median_prices
359,Beveridge,37.9km,37.9,North,715400.00
360,Coldstream,37.9km,37.9,East,670600.00
361,Frankston North,38.1km,38.1,South-east,501100.00
362,Melton West,38.2km,38.2,West,462900.00
363,Narre Warren,38.3km,38.3,South-east,634700.00
364,Narre Warren East,39km,39,East,1510000.00
365,Brookfield,39.2km,39.2,West,500700.00
366,Harkaway,39.2km,39.2,East,1226800.00
367,Frankston,39.4km,39.4,South,645500.00
368,Monbulk,39.4km,39.4,East,729200.00
369,Narre Warren South,39.4km,39.4,South-east,683500.00
370,The Patch,39.6km,39.6,East,776600.00
371,Skye,39.9km,39.9,South-east,615900.00
372,Wandin North,40km,40,East,748500.00
373,Yarra Glen,40.1km,40.1,East,721300.00
374,Silvan,40.2km,40.2,East,1061800.00
375,Toolern Vale,40.2km,40.2,North-west,857000.00
376,Menzies Creek,40.5km,40.5,East,828500.00
377,Cranbourne North,40.6km,40.6,South-east,603700.00
378,Berwick,41.2km,41.2,South-east,770200.00
379,Cranbourne West,41.5km,41.5,South-east,552900.00
380,Frankston South,41.7km,41.7,South,920800.00
381,Humevale,41.9km,41.9,North-east,971600.00
382,Strathewen,42.1km,42.1,North-east,
383,Clematis,42.4km,42.4,East,626100.00
384,Indented Head,42.4km,42.4,South-west,633800.00
385,Mount Eliza,42.5km,42.5,South,1466000.00
386,Cranbourne,42.6km,42.6,South-east,553200.00
387,Langwarrin,42.6km,42.6,South-east,672900.00
388,Gruyere,42.7km,42.7,East,1228300.00
389,Hopetoun Park,43.1km,43.1,West,1135800.00
390,Little River,43.2km,43.2,West,1215300.00
390,Mt Eliza,42.5km,42.5,South,
391,Portarlington,43.2km,43.2,South-west,662000.00
392,Guys Hill,43.4km,43.4,East,1124300.00
393,Cranbourne South,43.5km,43.5,South-east,1032600.00
394,Steels Creek,43.7km,43.7,North-east,
395,Wandin East,43.7km,43.7,East,845000.00
396,Beaconsfield,43.8km,43.8,South-east,793000.00
397,Emerald,44km,44,East,768800.00
398,Seville,44km,44,East,805200.00
399,Darraweit Guim,44.3km,44.3,North,
400,Long Forest,44.4km,44.4,West,746200.00
401,Gisborne South,44.5km,44.5,North-west,1139600.00
402,Beaconsfield Upper,44.6km,44.6,East,1045900.00
403,Parwan,44.7km,44.7,West,
404,Wallan,44.7km,44.7,North,508600.00
405,Botanic Ridge,44.8km,44.8,South-east,726400.00
406,Kinglake West,44.8km,44.8,North-east,783600.00
407,Cranbourne East,45.1km,45.1,South-east,580100.00
408,St Leonards,45.2km,45.2,South-west,558600.00
409,Mornington,45.5km,45.5,South,959100.00
410,Baxter,45.7km,45.7,South-east,546600.00
411,Macclesfield,45.8km,45.8,East,1073300.00
412,Tarrawarra,45.8km,45.8,East,
413,Avonsleigh,45.9km,45.9,East,737800.00
414,Kinglake,45.9km,45.9,North-east,624800.00
415,Merrimu,46.1km,46.1,West,
416,Junction Village,46.3km,46.3,South-east,542200.00
417,Kinglake Central,46.3km,46.3,North-east,400000.00
418,Bolinda,46.5km,46.5,North-west,
419,Pheasant Creek,46.5km,46.5,North-east,522100.00
420,Clyde North,46.6km,46.6,South-east,589400.00
421,Dixons Creek,46.6km,46.6,East,
422,Riddells Creek,46.6km,46.6,North-west,752400.00
423,Hidden Valley,46.7km,46.7,North,746000.00
424,Langwarrin South,46.9km,46.9,South-east,1300300.00
425,Seville East,47.1km,47.1,East,596200.00
426,Moorooduc,47.3km,47.3,South,1303000.00
427,Yellingbo,47.9km,47.9,East,611600.00
428,Officer,48km,48,South-east,631000.00
429,Clyde,48.3km,48.3,South-east,592200.00
430,Cockatoo,48.4km,48.4,East,613700.00
431,Heathcote Junction,48.4km,48.4,North,635500.00
432,Bacchus Marsh,48.8km,48.8,West,487700.00
433,Gisborne,48.9km,48.9,North-west,755600.00
434,Darley,49km,49,West,519800.00
435,Pearcedale,49.3km,49.3,South-east,741900.00
436,Somerville,49.3km,49.3,South-east,699800.00
437,Devon Meadows,49.8km,49.8,South-east,919600.00
438,Maddingley,49.9km,49.9,West,456700.00
439,Woori Yallock,50km,50,East,550200.00
440,Nangana,50.5km,50.5,East,
441,Mount Martha,50.6km,50.6,South,1147100.00
442,New Gisborne,50.9km,50.9,North-west,726300.00
443,Coimadai,51.1km,51.1,West,1165000.00
444,Wandong,51.4km,51.4,North,675000.00
445,Healesville,51.8km,51.8,East,651900.00
446,Balliang,51.9km,51.9,West,781600.00
447,Clifton Springs,52km,52,South-west,521400.00
448,Chum Creek,52.1km,52.1,East,626400.00
449,Drysdale,52.7km,52.7,South-west,553500.00
450,Rowsley,52.7km,52.7,West,
451,Pakenham Upper,53km,53,East,967800.00
452,Launching Place,53.2km,53.2,East,578400.00
453,Tyabb,53.6km,53.6,South-east,798500.00
454,Bullengarook,53.7km,53.7,North-west,899000.00
455,Gembrook,53.8km,53.8,East,756700.00
456,Lara,54km,54,West,566700.00
457,Cannons Creek,54.1km,54.1,South-east,712100.00
458,Romsey,54.2km,54.2,North,622400.00
459,Cardinia,54.7km,54.7,South-east,940600.00
460,Tuerong,54.7km,54.7,South,1367300.00
461,Warneet,54.7km,54.7,South-east,519500.00
462,Clonbinane,55km,55,North,551600.00
463,Pakenham,55km,55,East,528300.00
464,Blind Bight,55.2km,55.2,South-east,537200.00
465,Macedon,55.5km,55.5,North-west,827700.00
466,Mannerim,55.7km,55.7,South-west,
467,Hoddles Creek,55.8km,55.8,East,785200.00
468,Safety Beach,55.8km,55.8,South,860900.00
469,Mount Macedon,56.8km,56.8,North-west,897500.00
470,Nar Nar Goon North,56.9km,56.9,East,978300.00
471,Queenscliff,56.9km,56.9,South-west,899000.00
472,Curlewis,57.1km,57.1,South-west,482200.00
473,Tooradin,57.3km,57.3,South-east,586500.00
474,Yarra Junction,57.3km,57.3,East,553500.00
475,Kilmore,57.7km,57.7,North,480300.00
476,Dromana,57.8km,57.8,South,783200.00
477,Dalmore,58.4km,58.4,South-east,
478,Hastings,58.4km,58.4,South,546600.00
479,Wallington,59.1km,59.1,South-west,1287500.00
480,McCrae,59.5km,59.5,South,906400.00
481,Wesburn,60km,60,East,540400.00
482,Arthurs Seat,60.1km,60.1,South,1236000.00
483,Corio,60.4km,60.4,West,373800.00
484,Leopold,60.4km,60.4,South-west,526100.00
485,Rosebud,60.4km,60.4,South,646200.00
486,Rosebud South,60.4km,60.4,South,
487,North Shore,60.8km,60.8,West,621000.00
488,Point Lonsdale,60.8km,60.8,South-west,959900.00
489,Gladysdale,61km,61,East,859600.00
490,Merricks North,61km,61,South,1266200.00
491,Millgrove,61km,61,East,425500.00
492,Nar Nar Goon,61km,61,East,674200.00
493,Myrniong,61.2km,61.2,West,516200.00
494,Maryknoll,61.3km,61.3,East,828700.00
495,Portsea,61.3km,61.3,South,2362700.00
496,Bittern,61.4km,61.4,South,770200.00
497,Sorrento,61.5km,61.5,South,1502900.00
498,Norlane,61.7km,61.7,West,366200.00
499,Rosebud West,61.7km,61.7,South,558500.00
500,Red Hill,62km,62,South,1510800.00
501,Moolap,62.1km,62.1,South-west,800000.00
502,Ingliston,62.3km,62.3,West,
503,Flowerdale,62.4km,62.4,North-east,346500.00
504,Glenburn,62.8km,62.8,North-east,825000.00
505,Blairgowrie,62.9km,62.9,South,1070700.00
506,Tynong North,62.9km,62.9,East,992700.00
507,Anakie,63km,63,West,834100.00
508,Tootgarook,63km,63,South,686400.00
509,Koo Wee Rup,63.1km,63.1,South-east,539700.00
510,Rye,63.1km,63.1,South,758900.00
511,Lancefield,63.2km,63.2,North,537000.00
512,North Geelong,63.2km,63.2,West,524700.00
513,Ocean Grove,63.5km,63.5,South-west,735900.00
514,Red Hill South,63.5km,63.5,South,1259100.00
515,Rippleside,63.7km,63.7,South-west,709700.00
516,Lovely Banks,63.8km,63.8,West,563100.00
517,Woodend,63.8km,63.8,North-west,760400.00
518,Balnarring,63.9km,63.9,South,953300.00
519,Drumcondra,64km,64,South-west,766500.00
520,Newcomb,64.1km,64.1,South-west,451600.00
521,Warburton,64.2km,64.2,East,504000.00
522,East Geelong,64.3km,64.3,South-west,644600.00
523,Greendale,64.3km,64.3,West,764100.00
524,Bell Post Hill,64.4km,64.4,West,474700.00
525,Geelong,64.6km,64.6,South-west,808400.00
526,Thomson,64.6km,64.6,South-west,423600.00
527,Whittington,64.6km,64.6,South-west,374500.00
528,Bell Park,64.7km,64.7,West,468000.00
529,Newham,64.7km,64.7,North-west,761600.00
530,Crib Point,64.9km,64.9,South,555000.00
531,Boneo,65.2km,65.2,South,1848300.00
532,Geelong West,65.2km,65.2,South-west,734800.00
533,Main Ridge,65.3km,65.3,South,1636600.00
534,Merricks,65.3km,65.3,South,2253300.00
535,Hamlyn Heights,65.4km,65.4,West,551000.00
536,Balnarring Beach,65.5km,65.5,South,1580900.00
537,Beremboke,65.8km,65.8,West,581600.00
538,Newtown,65.8km,65.8,South-west,814600.00
539,St Albans Park,65.8km,65.8,South-west,486200.00
540,Moorabool,66km,66,West,
540,Tynong,65.3km,65.3,East,599100.00
541,South Geelong,66km,66,South-west,765700.00
542,Breakwater,66.2km,66.2,South-west,407000.00
543,Mount Wallace,66.2km,66.2,West,
544,Dales Creek,66.3km,66.3,West,487000.00
545,Manifold Heights,66.3km,66.3,South-west,786600.00
546,Barwon Heads,66.4km,66.4,South-west,1021200.00
547,Merricks Beach,66.4km,66.4,South,883000.00
548,Herne Hill,66.8km,66.8,West,524600.00
549,Somers,66.9km,66.9,South,1070700.00
550,Narbethong,67.1km,67.1,East,505600.00
551,Bayles,67.2km,67.2,South-east,989600.00
552,Cora Lynn,67.4km,67.4,South-east,556200.00
553,French Island,67.4km,67.4,South-east,1073300.00
554,Batesford,67.7km,67.7,West,996400.00
555,Belmont,67.7km,67.7,South-west,540100.00
556,Marshall,67.8km,67.8,South-west,470500.00
557,St Andrews Beach,68km,68,South,981000.00
558,Fyansford,68.1km,68.1,South-west,810200.00
559,Strath Creek,68.2km,68.2,North,870000.00
560,Broadford,68.5km,68.5,North,421400.00
561,Fingal,68.7km,68.7,South,1352500.00
562,Shoreham,68.7km,68.7,South,2061800.00
563,Highton,69.1km,69.1,South-west,670700.00
564,Ballan,69.2km,69.2,West,513300.00
565,Blackwood,69.3km,69.3,North-west,365900.00
566,Trentham East,69.3km,69.3,North-west,808300.00
567,East Warburton,68.5km,68.5,East,475900.00
567,Garfield,69.9km,69.9,East,578700.00
568,Connewarre,70.1km,70.1,South-west,1106200.00
569,Wandana Heights,70.1km,70.1,South-west,641800.00
570,Caldermeade,70.6km,70.6,South-east,
571,Grovedale,70.7km,70.7,South-west,494300.00
572,Vervale,71.3km,71.3,East,
573,Barrys Reef,71.5km,71.5,North-west,334000.00
574,Iona,72.5km,72.5,East,
575,Cape Schanck,72.7km,72.7,South,1092400.00
576,Murrindindi,72.7km,72.7,North-east,
577,Lang Lang,72.8km,72.8,South-east,460600.00
578,Mount Duneed,73.1km,73.1,South-west,553300.00
579,Bunyip,73.2km,73.2,East,669600.00
580,Ceres,73.5km,73.5,South-west,1550000.00
581,She Oaks,73.5km,73.5,West,
582,Trentham,73.5km,73.5,North-west,755500.00
583,Flinders,73.6km,73.6,South,2368900.00
584,Pipers Creek,73.7km,73.7,North-west,882500.00
585,Waurn Ponds,73.8km,73.8,South-west,617700.00
586,Bannockburn,74.2km,74.2,West,546100.00
587,Newbury,74.5km,74.5,North-west,
587,Tylden,73.2km,73.2,North-west,511700.00
588,Ventnor,74.5km,74.5,South,556300.00
589,Lethbridge,74.7km,74.7,West,699600.00
590,Cowes,74.8km,74.8,South,511200.00
591,Jam Jerrup,74.9km,74.9,South-east,
592,Silverleaves,76km,76,South,932700.00
593,Marysville,76.9km,76.9,East,441500.00
594,Kyneton,77.4km,77.4,North-west,637400.00
595,Modella,77.5km,77.5,South-east,
596,Meredith,78km,78,West,381600.00
597,Rhyll,78km,78,South-east,554600.00
598,Wimbledon Heights,78.1km,78.1,South,372400.00
599,Longwarry,78.3km,78.3,East,453500.00
600,Corinella,78.4km,78.4,South-east,356700.00
601,Lyonville,78.4km,78.4,North-west,676800.00
602,Yea,78.4km,78.4,North-east,463900.00
603,Buxton,78.9km,78.9,North-east,540000.00
604,Pyalong,77.6km,77.6,North,502500.00
604,Trawool,79.9km,79.9,North,
605,Gordon,80km,80,West,561000.00
606,Freshwater Creek,80.2km,80.2,South-west,1051600.00
607,Tenby Point,80.2km,80.2,South-east,389200.00
608,Coronet Bay,80.3km,80.3,South-east,349000.00
609,Bullarto,80.4km,80.4,North-west,519700.00
609,Mount Egerton,78.3km,78.3,West,445400.00
610,Labertouche,80.4km,80.4,East,
611,Smiths Beach,80.4km,80.4,South,610000.00
612,Sunset Strip,80.4km,80.4,South,346400.00
613,Torquay,80.4km,80.4,South-west,864700.00
614,Heath Hill,80.6km,80.6,South-east,
615,Tallarook,81.1km,81.1,North,507500.00
616,The Gurdies,81.4km,81.4,South-east,404800.00
617,Pioneer Bay,81.5km,81.5,South-east,304500.00
618,Sunderland Bay,81.7km,81.7,South,548200.00
619,Lal Lal,82.3km,82.3,West,585600.00
620,Jan Juc,82.6km,82.6,South-west,950800.00
621,Grantville,82.8km,82.8,South-east,402800.00
622,Lauriston,82.8km,82.8,North-west,782600.00
623,Surf Beach,82.8km,82.8,South,527800.00
624,Korweinguboora,83.4km,83.4,West,696600.00
625,Moriac,83.4km,83.4,South-west,765500.00
626,Teesdale,83.8km,83.8,West,600900.00
627,Bellbrae,84km,84,South-west,891600.00
628,Nyora,84.9km,84.9,South-east,486300.00
629,Drummond,85.1km,85.1,North-west,445000.00
630,Elaine,82.4km,82.4,West,399300.00
630,Newhaven,85.3km,85.3,South-east,663200.00
631,Inverleigh,85.6km,85.6,West,573300.00
632,Wallace,85.6km,85.6,West,
633,Glenlyon,85.8km,85.8,North-west,580200.00
634,Bass,86.4km,86.4,South-east,546300.00
635,Drouin,86.4km,86.4,East,485500.00
636,San Remo,86.4km,86.4,South-east,641000.00
637,Malmsbury,86.5km,86.5,North-west,507800.00
638,Coomoora,87.1km,87.1,North-west,477200.00
639,Cape Woolamai,87.6km,87.6,South-east,520400.00
640,Glen Forbes,87.7km,87.7,South-east,
641,Kernot,88km,88,South-east,579000.00
642,Seymour,89.1km,89.1,North,325400.00
643,Daylesford,89.4km,89.4,North-west,612100.00
644,Shelford,89.5km,89.5,West,456000.00
644,Wheatsheaf,85.6km,85.6,North-west,506000.00
645,Bungaree,89.7km,89.7,West,497500.00
646,Loch,89.7km,89.7,South-east,533500.00
647,Mollongghip,89.8km,89.8,West,490000.00
648,Yendon,89.8km,89.8,West,504500.00
649,Neerim South,89.9km,89.9,East,503800.00
650,Eganstown,90.2km,90.2,North-west,495500.00
650,Tooborac,86.9km,86.9,North,329500.00
651,Noojee,91.4km,91.4,East,313200.00
652,Hepburn Springs,91.6km,91.6,North-west,564800.00
653,Navigators,91.6km,91.6,West,680000.00
654,Poowong,91.6km,91.6,South-east,391200.00
655,Kilcunda,93.3km,93.3,South-east,556000.00
656,Warragul,93.4km,93.4,East,517800.00
657,Anglesea,94.5km,94.5,South-west,913900.00
658,Blampied,94.6km,94.6,North-west,521300.00
659,Warrenheip,95.2km,95.2,West,481200.00
660,Garibaldi,95.6km,95.6,West,465000.00
661,Gherang,95.6km,95.6,South-west,703100.00
662,Alexandra,95.8km,95.8,North-east,375200.00
663,Redesdale,96.1km,96.1,North-west,516500.00
664,Buln Buln,91km,91,East,654200.00
664,Durham Lead,96.4km,96.4,West,513300.00
665,Buninyong,96.7km,96.7,West,536700.00
666,Glen Alvie,96.7km,96.7,South-east,
667,Mount Helen,97.6km,97.6,West,424900.00
668,Dalyston,97.8km,97.8,South-east,298100.00
669,Brown Hill,97.9km,97.9,West,396600.00
669,Taradale,92.8km,92.8,North-west,546400.00
670,Winchelsea,97.9km,97.9,West,453200.00
671,Canadian,98.3km,98.3,West,364000.00
672,Ballarat East,98.8km,98.8,West,347200.00
673,Mount Clear,99.2km,99.2,West,376100.00
674,Nerrina,99.4km,99.4,West,587200.00
675,Invermay,99.5km,99.5,West,906200.00
676,Icy Creek,99.9km,99.9,East,
680,Thornton,96.4km,96.4,North-east,245000.00
681,Bena,96.6km,96.6,South-east,514600.00
684,Elphinstone,97km,97,North-west,561700.00
690,Yarck,98.3km,98.3,North-east,616600.00
696,Wensleydale,100.1km,100.1,South-west,
697,Darnum,100.2km,100.2,East,353300.00
698,Black Hill,100.3km,100.3,West,434400.00
699,Bakery Hill,100.6km,100.6,West,374000.00
700,Magpie,100.7km,100.7,West,590000.00
701,Napoleons,101km,101,West,543300.00
702,Mount Pleasant,101.2km,101.2,West,355700.00
703,Soldiers Hill,101.5km,101.5,West,445300.00
704,Sebastopol,101.7km,101.7,West,277100.00
705,Ballarat North,101.8km,101.8,West,432000.00
706,Heathcote,101.8km,101.8,North,355000.00
707,Invermay Park,102km,102,West,416000.00
708,Korumburra,102km,102,South-east,342900.00
709,Ballarat,102.2km,102.2,West,449000.00
710,Ballarat Central,102.2km,102.2,West,466700.00
711,Yandoit,102.2km,102.2,North-west,613300.00
712,Redan,102.5km,102.5,West,336700.00
713,Golden Point,102.7km,102.7,North-west,357700.00
714,Lake Wendouree,102.8km,102.8,West,696600.00
715,Allendale,103.1km,103.1,West,
716,Newington,103.3km,103.3,West,495200.00
717,Aireys Inlet,103.6km,103.6,South-west,957000.00
718,Creswick,103.7km,103.7,West,388600.00
719,Wonthaggi,103.8km,103.8,South-east,350100.00
720,Chewton,104km,104,North-west,538100.00
721,Yapeen,104.2km,104.2,North-west,466300.00
722,Wendouree,104.3km,104.3,West,304500.00
723,Mount Rowan,104.4km,104.4,West,645000.00
724,Campbells Creek,104.5km,104.5,North-west,508000.00
725,Kardella,104.5km,104.5,South-east,
726,Alfredton,104.9km,104.9,West,431600.00
727,Delacombe,104.9km,104.9,West,359900.00
728,Enfield,104.9km,104.9,West,414100.00
729,Lake Gardens,105km,105,West,534200.00
730,Sulky,105.1km,105.1,West,778700.00
